zona,estado_pob,expr,n
Norte Chico,Pobreza ingresos y multidim.,22685.0,384
Norte Chico,Pobreza multidimensional,33852.0,592
Norte Chico,Pobreza por ingresos,59891.0,1091
Norte Grande,Pobreza ingresos y multidim.,26286.0,566
Norte Grande,Pobreza multidimensional,38481.0,857
Norte Grande,Pobreza por ingresos,52912.0,1193
Zona Austral,Pobreza ingresos y multidim.,2293.0,77
Zona Austral,Pobreza multidimensional,4321.0,165
Zona Austral,Pobreza por ingresos,11349.0,441
Zona Central,Pobreza ingresos y multidim.,201273.0,1584
Zona Central,Pobreza multidimensional,407586.0,2943
Zona Central,Pobreza por ingresos,477813.0,4417
Zona Sur,Pobreza ingresos y multidim.,88980.0,1459
Zona Sur,Pobreza multidimensional,113064.0,1794
Zona Sur,Pobreza por ingresos,269719.0,4383
